Date,Rev
2016-05-09,2368
2016-05-10,2348
2016-05-11,5099
2016-05-12,11992
2016-05-13,-3837
2016-05-14,7319
2016-05-15,-1298
2016-05-16,3032
2016-05-17,1029
2016-05-18,1119
2016-05-19,-1964
2016-05-20,4664
2016-05-21,15659
2016-05-22,-1427
2016-05-23,2683
2016-05-24,871
2016-05-25,1332
2016-05-26,-2198
2016-05-27,-4186
2016-05-28,2306
2016-05-29,972
2016-05-30,-1336
2016-06-01,-2325
2016-06-02,3684
2016-06-03,1168
2016-06-04,1333
2016-06-05,-864
2016-06-06,-1564
2016-06-07,-3184
2016-06-08,4040
2016-06-09,794
2016-06-10,3076
2016-06-11,1997
2016-06-12,-843
2016-06-13,-1272
2016-06-14,14907
2016-06-15,-2800
2016-06-16,-2671
2016-06-17,2462
2016-06-18,2667
2016-06-19,15922
2016-06-20,1089
2016-06-21,3114
2016-06-22,2676
2016-06-23,5863
2016-06-24,3553
2016-06-25,-2265
2016-06-26,-1328
2016-06-27,-3133
2016-06-28,6210
2016-06-29,-1153
2016-06-30,-3981
2016-07-01,1536
2016-07-02,2960
2016-07-03,2901
2016-07-04,2665
2016-07-05,2512
2016-07-06,-7665
2016-07-07,-2690
2016-07-08,2609
2016-07-09,-1009
2016-07-10,6064
2016-07-11,905
2016-07-12,12633
2016-07-13,2821
2016-07-14,-3021
2016-07-15,1819
2016-07-16,1173
2016-07-17,-1849
2016-07-18,-3320
2016-07-19,-4274
2016-07-20,1119
2016-07-21,4004
2016-07-22,1469
2016-07-23,980
2016-07-24,-3223
2016-07-25,-3081
2016-07-26,12035
2016-07-27,2909
2016-07-28,-5644
2016-07-29,-2152
2016-07-30,-672
2016-07-31,959
2016-08-01,3410
2016-08-02,-3947
2016-08-03,3414
2016-08-04,-4965
2016-08-05,2019
2016-08-06,2208
2016-08-07,3390
2016-08-08,-1088
2016-08-09,2430
2016-08-10,1590
2016-08-11,2569
2016-08-12,3782
2016-08-13,29977
2016-08-14,1686
2016-08-15,4216
2016-08-16,-1409
2016-08-17,1323
2016-08-18,4000
2016-08-19,9019
2016-08-20,836
2016-08-21,-9090
2016-08-22,-4134
2016-08-23,1147
2016-08-24,4360
2016-08-25,-2374
2016-08-26,3287
2016-08-27,1525
2016-08-28,3016
2016-09-01,-506
